Region,Scenario,Crop,Real,Year,Proj.Yd
AT11,CMIP6:SSP585,Lucerne,50,1992,17.2834842025519
AT11,CMIP6:SSP585,Lucerne,50,1993,14.4300770450201
AT11,CMIP6:SSP585,Lucerne,50,1994,17.8245621544889
AT11,CMIP6:SSP585,Lucerne,50,1995,17.2643623377583
AT11,CMIP6:SSP585,Lucerne,50,1996,15.8033102240854
AT11,CMIP6:SSP585,Lucerne,50,1997,14.0008974129863
AT11,CMIP6:SSP585,Lucerne,50,1998,16.7331994268253
AT11,CMIP6:SSP585,Lucerne,50,1999,14.2048639707846
AT11,CMIP6:SSP585,Lucerne,50,2000,15.8210156544499
AT11,CMIP6:SSP585,Lucerne,50,2001,12.8875799516709
AT11,CMIP6:SSP585,Lucerne,50,2002,16.7912732384207
AT11,CMIP6:SSP585,Lucerne,50,2003,17.9074235685944
AT11,CMIP6:SSP585,Lucerne,50,2004,15.2586911860755
AT11,CMIP6:SSP585,Lucerne,50,2005,17.8493497569991
AT11,CMIP6:SSP585,Lucerne,50,2006,13.6977804451473
AT11,CMIP6:SSP585,Lucerne,50,2007,14.8578402426248
AT11,CMIP6:SSP585,Lucerne,50,2008,16.6368818856428
AT11,CMIP6:SSP585,Lucerne,50,2009,14.2161954462178
AT11,CMIP6:SSP585,Lucerne,50,2010,12.8401293982942
AT11,CMIP6:SSP585,Lucerne,50,2011,14.0809259582336
AT11,CMIP6:SSP585,Lucerne,50,2012,14.478944032826
AT11,CMIP6:SSP585,Lucerne,50,2013,13.2154845220202
AT11,CMIP6:SSP585,Lucerne,50,2014,13.7204433960137
AT11,CMIP6:SSP585,Lucerne,50,2015,14.6793695045513
AT11,CMIP6:SSP585,Lucerne,50,2016,12.668032615152
AT11,CMIP6:SSP585,Lucerne,50,2017,16.0086932163128
AT11,CMIP6:SSP585,Lucerne,50,2018,11.9704386587934
AT11,CMIP6:SSP585,Lucerne,50,2019,10.9222771812191
AT11,CMIP6:SSP585,Lucerne,50,2020,16.8167690581455
AT11,CMIP6:SSP585,Lucerne,50,2021,15.4520344856551
AT11,CMIP6:SSP585,Lucerne,50,2022,13.4491962028307
AT11,CMIP6:SSP585,Lucerne,50,2023,17.1326339358469
AT11,CMIP6:SSP585,Lucerne,50,2024,15.1014669644394
AT11,CMIP6:SSP585,Lucerne,50,2025,15.1262545669496
AT11,CMIP6:SSP585,Lucerne,50,2026,12.1609490895147
AT11,CMIP6:SSP585,Lucerne,50,2027,13.1510367554936
AT11,CMIP6:SSP585,Lucerne,50,2028,11.4378593134313
AT11,CMIP6:SSP585,Lucerne,50,2029,15.4994850390318
AT11,CMIP6:SSP585,Lucerne,50,2030,17.5426917030871
AT11,CMIP6:SSP585,Lucerne,50,2031,13.3387143173566
AT11,CMIP6:SSP585,Lucerne,50,2032,17.8833441832988
AT11,CMIP6:SSP585,Lucerne,50,2033,14.9102483165035
AT11,CMIP6:SSP585,Lucerne,50,2034,16.3323484833746
AT11,CMIP6:SSP585,Lucerne,50,2035,14.4831933361134
AT11,CMIP6:SSP585,Lucerne,50,2036,14.4987741148341
AT11,CMIP6:SSP585,Lucerne,50,2037,17.0448150012393
AT11,CMIP6:SSP585,Lucerne,50,2038,16.3578443030994
AT11,CMIP6:SSP585,Lucerne,50,2039,15.3436772518248
AT11,CMIP6:SSP585,Lucerne,50,2040,16.0858888927017
AT11,CMIP6:SSP585,Lucerne,50,2041,14.97469608303
AT11,CMIP6:SSP585,Lucerne,50,2042,17.1758351859361
AT11,CMIP6:SSP585,Lucerne,50,2043,14.3642128440645
AT11,CMIP6:SSP585,Lucerne,50,2044,14.8415512466895
AT11,CMIP6:SSP585,Lucerne,50,2045,14.3132212046149
AT11,CMIP6:SSP585,Lucerne,50,2046,16.2933965365729
AT11,CMIP6:SSP585,Lucerne,50,2047,15.2976431328773
AT11,CMIP6:SSP585,Lucerne,50,2048,13.6623695844184
AT11,CMIP6:SSP585,Lucerne,50,2049,15.891129158693
